Date,Open,High,Low,Close,Volume,Adj Close
2010-02-01,10212.360352,10224.830078,10129.910156,10205.019531,162000,10205.019531
2010-02-02,10310.980469,10396.480469,10287.740234,10371.089844,142000,10371.089844
2010-02-03,10428.120117,10436.519531,10356.030273,10404.330078,154200,10404.330078
2010-02-04,10434.519531,10438.410156,10279.570312,10355.980469,164600,10355.980469
2010-02-05,10162.339844,10166.299805,10036.330078,10057.089844,172000,10057.089844
2010-02-08,10007.469727,10063.530273,9942.049805,9951.820312,137400,9951.820312
2010-02-09,9876.610352,9956.790039,9867.389648,9932.900391,135000,9932.900391
2010-02-10,10024.259766,10049.870117,9963.990234,9963.990234,127000,9963.990234
2010-02-12,10085.349609,10099.459961,10014.5,10092.19043,136000,10092.19043
2010-02-15,10097.820312,10119.469727,10012.530273,10013.299805,97400,10013.299805
2010-02-16,10044.530273,10062.269531,10019.429688,10034.25,87000,10034.25
2010-02-17,10161.719727,10306.830078,10150.240234,10306.830078,127200,10306.830078
2010-02-18,10324.980469,10340.379883,10285.049805,10335.69043,111800,10335.69043
2010-02-19,10334.400391,10354.419922,10123.580078,10123.580078,129400,10123.580078
2010-02-22,10302.070312,10449.75,10298.150391,10400.469727,115400,10400.469727
2010-02-23,10327.639648,10375.549805,10280.330078,10352.099609,121400,10352.099609
2010-02-24,10205.150391,10243.200195,10129.650391,10198.830078,125200,10198.830078
2010-02-25,10256.099609,10267.429688,10087.209961,10101.959961,128200,10101.959961
2010-02-26,10107.080078,10171.219727,10085.129883,10126.030273,113200,10126.030273
2010-03-01,10128.730469,10215.150391,10116.860352,10172.05957,108400,10172.05957
2010-03-02,10199.19043,10238.959961,10150.299805,10221.839844,104000,10221.839844
2010-03-03,10193.950195,10274.089844,10186.679688,10253.139648,120600,10253.139648
2010-03-04,10255.69043,10263.480469,10134.370117,10145.719727,126400,10145.719727
2010-03-05,10254.610352,10376.410156,10254.610352,10368.959961,129800,10368.959961
2010-03-08,10538.120117,10586.969727,10514.280273,10585.919922,140600,10585.919922
2010-03-09,10567.320312,10593.269531,10542.80957,10567.650391,110000,10567.650391
2010-03-10,10555.849609,10588.69043,10547.339844,10563.919922,104800,10563.919922
2010-03-11,10627.990234,10664.950195,10588.860352,10664.950195,123800,10664.950195
2010-03-12,10777.490234,10777.490234,10699.299805,10751.259766,206600,10751.259766
2010-03-15,10802.110352,10808.839844,10708.969727,10751.980469,130600,10751.980469
2010-03-16,10718.629883,10776.519531,10716.200195,10721.709961,106600,10721.709961
2010-03-17,10789.240234,10864.299805,10761.889648,10846.980469,137600,10846.980469
2010-03-18,10841.709961,10845.730469,10731.660156,10744.030273,130200,10744.030273
2010-03-19,10785.879883,10826.759766,10775.570312,10824.719727,116200,10824.719727
2010-03-23,10793.049805,10817.780273,10766.650391,10774.150391,112400,10774.150391
2010-03-24,10829.360352,10880.620117,10769.179688,10815.030273,125400,10815.030273
2010-03-25,10857.80957,10872.450195,10808.709961,10828.849609,123600,10828.849609
2010-03-26,10895.290039,11001.589844,10889.330078,10996.370117,142200,10996.370117
2010-03-29,10909.980469,10990.75,10901.200195,10986.469727,0,10986.469727
2010-03-30,11022.200195,11108.820312,11003.349609,11097.139648,153600,11097.139648
2010-03-31,11138.719727,11147.620117,11085.549805,11089.94043,0,11089.94043
2010-04-01,11178.919922,11272.730469,11118.179688,11244.400391,0,11244.400391
2010-04-02,11274.179688,11313.980469,11235.980469,11286.089844,150000,11286.089844
2010-04-05,11380.629883,11408.169922,11306.620117,11339.299805,118000,11339.299805
2010-04-06,11350.700195,11358.450195,11217.25,11282.320312,138000,11282.320312
2010-04-07,11296.30957,11350.570312,11260.419922,11292.830078,167400,11292.830078
2010-04-08,11179.669922,11232.360352,11159.450195,11168.200195,130200,11168.200195
2010-04-09,11174.620117,11204.870117,11148.799805,11204.339844,148400,11204.339844
2010-04-12,11300.790039,11351.549805,11248.570312,11251.900391,132400,11251.900391
2010-04-13,11202.919922,11212.650391,11088.480469,11161.230469,144600,11161.230469
2010-04-14,11213.459961,11270.200195,11161.009766,11204.900391,139400,11204.900391
2010-04-15,11310.070312,11316.660156,11255.799805,11273.790039,156800,11273.790039
2010-04-16,11230.530273,11230.530273,11084.719727,11102.179688,136800,11102.179688
