Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,21860.039062,22024.830078,21689.220703,21823.279297,1006199600,21823.279297
2010-01-05,22092.150391,22297.039062,21987.269531,22279.580078,1965584800,22279.580078
2010-01-06,22357.460938,22514.789062,22277.130859,22416.669922,2100234000,22416.669922
2010-01-07,22548.029297,22548.029297,22169.609375,22269.449219,1495365300,22269.449219
2010-01-08,22282.75,22443.220703,22206.160156,22296.75,1626022600,22296.75
2010-01-11,22524.179688,22671.919922,22373.960938,22411.519531,1744637600,22411.519531
2010-01-12,22378.230469,22476.119141,22192.980469,22326.640625,2204776800,22326.640625
2010-01-13,21990.679688,22012.039062,21688.169922,21748.599609,3414190400,21748.599609
2010-01-14,21871.009766,21988.929688,21707.099609,21716.949219,2338667600,21716.949219
2010-01-15,21715.089844,21788.849609,21581.070312,21654.160156,2659842200,21654.160156
2010-01-18,21418.339844,21645.679688,21320.970703,21460.009766,1867401600,21460.009766
2010-01-19,21481.109375,21681.689453,21335.599609,21677.980469,1913397800,21677.980469
2010-01-20,21543.25,21561.560547,21171.300781,21286.169922,2197552000,21286.169922
2010-01-21,21192.830078,21272.259766,20828.240234,20862.669922,2465648800,20862.669922
2010-01-22,20527.199219,20738.990234,20250.359375,20726.179688,3220362000,20726.179688
2010-01-25,20447.789062,20619.699219,20422.669922,20598.550781,1909841600,20598.550781
2010-01-26,20560.109375,20560.109375,20046.599609,20109.330078,2270009200,20109.330078
2010-01-27,20185.800781,20340.820312,19923.550781,20033.070312,1822372600,20033.070312
2010-01-28,20202.330078,20437.560547,20170.150391,20356.369141,1880647200,20356.369141
2010-01-29,20026.519531,20327.689453,19916.339844,20121.990234,1784257400,20121.990234
2010-02-01,19987.669922,20254.240234,19845.929688,20243.75,1701996800,20243.75
2010-02-02,20432.960938,20533.960938,20181.279297,20272.179688,1561642000,20272.179688
2010-02-03,20486.150391,20780.5,20315.310547,20722.080078,1922114800,20722.080078
2010-02-04,20534.740234,20554.199219,20316.330078,20341.640625,1607734100,20341.640625
2010-02-05,19706.240234,19822.929688,19655.880859,19665.080078,2515439200,19665.080078
2010-02-08,19614.849609,19673.109375,19423.050781,19550.890625,1751004600,19550.890625
2010-02-09,19493.5,19843.869141,19461.199219,19790.279297,1495157300,19790.279297
2010-02-10,19914.839844,19976.660156,19681.539062,19922.220703,0,19922.220703
2010-02-11,20095.529297,20310.789062,20095.529297,20290.689453,1338864000,20290.689453
2010-02-12,20240.669922,20428.320312,20212.550781,20268.689453,1193582100,20268.689453
2010-02-17,20657.859375,20684.220703,20471.359375,20534.009766,1111742000,20534.009766
2010-02-18,20534.769531,20569.609375,20381.300781,20422.150391,720614300,20422.150391
