Date,Open,High,Low,Close,Volume,Adj Close
2010-02-01,4882.049805,4918.799805,4827.149902,4899.700195,0,4899.700195
2010-02-02,4907.850098,4951.149902,4814.100098,4830.100098,0,4830.100098
2010-02-03,4831.0,4949.149902,4831.0,4931.850098,0,4931.850098
2010-02-04,4931.299805,4931.299805,4832.350098,4845.350098,0,4845.350098
2010-02-05,4819.649902,4827.0,4692.350098,4718.649902,0,4718.649902
2010-02-08,4755.350098,4799.049805,4675.399902,4760.399902,0,4760.399902
2010-02-09,4760.549805,4810.399902,4739.350098,4792.649902,0,4792.649902
2010-02-10,4793.0,4826.850098,4748.100098,4757.200195,0,4757.200195
2010-02-11,4757.25,4843.799805,4757.25,4826.850098,0,4826.850098
2010-02-15,4827.899902,4845.600098,4783.899902,4801.950195,0,4801.950195
2010-02-16,4801.799805,4880.0,4791.350098,4855.75,0,4855.75
2010-02-17,4858.649902,4929.700195,4857.600098,4914.0,0,4914.0
2010-02-18,4915.100098,4922.049805,4873.700195,4887.75,0,4887.75
2010-02-19,4887.299805,4887.299805,4805.549805,4844.899902,0,4844.899902
2010-02-22,4849.350098,4912.049805,4845.899902,4856.399902,0,4856.399902
2010-02-23,4856.600098,4884.100098,4833.149902,4870.049805,0,4870.049805
2010-02-24,4869.549805,4880.549805,4834.649902,4858.600098,0,4858.600098
2010-02-25,4859.0,4880.149902,4835.600098,4859.75,0,4859.75
2010-02-26,4858.5,4992.0,4858.450195,4922.299805,0,4922.299805
2010-03-02,4935.600098,5029.450195,4935.350098,5017.0,0,5017.0
2010-03-03,5015.799805,5093.25,5015.100098,5088.100098,0,5088.100098
2010-03-04,5096.950195,5096.950195,5049.0,5080.25,0,5080.25
2010-03-05,5080.549805,5118.649902,5068.049805,5088.700195,0,5088.700195
2010-03-08,5092.149902,5147.100098,5092.149902,5124.0,0,5124.0
2010-03-09,5121.049805,5131.799805,5094.350098,5101.5,0,5101.5
2010-03-10,5101.600098,5137.399902,5092.049805,5116.25,0,5116.25
2010-03-11,5116.350098,5152.600098,5102.100098,5133.399902,0,5133.399902
2010-03-12,5131.799805,5158.100098,5122.100098,5137.0,0,5137.0
2010-03-15,5134.450195,5151.049805,5101.200195,5128.899902,0,5128.899902
2010-03-16,5128.950195,5209.25,5125.700195,5198.100098,0,5198.100098
2010-03-17,5198.450195,5260.5,5177.149902,5231.899902,0,5231.899902
2010-03-18,5232.549805,5255.649902,5214.399902,5245.899902,0,5245.899902
2010-03-19,5246.799805,5269.950195,5237.100098,5262.799805,0,5262.799805
2010-03-22,5260.950195,5260.950195,5187.049805,5205.200195,0,5205.200195
2010-03-23,5205.850098,5243.600098,5193.399902,5225.299805,0,5225.299805
2010-03-25,5225.299805,5267.299805,5202.950195,5260.399902,0,5260.399902
2010-03-26,5260.549805,5293.75,5260.549805,5282.0,0,5282.0
2010-03-29,5283.899902,5329.549805,5242.149902,5302.850098,0,5302.850098
2010-03-30,5302.950195,5325.0,5251.350098,5262.450195,0,5262.450195
2010-03-31,5260.399902,5293.899902,5235.149902,5249.100098,0,5249.100098
2010-04-01,5249.200195,5298.600098,5249.200195,5290.5,0,5290.5
2010-04-05,5291.399902,5377.549805,5291.399902,5368.399902,0,5368.399902
2010-04-06,5369.649902,5388.649902,5351.700195,5366.0,0,5366.0
2010-04-07,5365.700195,5399.649902,5345.049805,5374.649902,0,5374.649902
2010-04-08,5376.299805,5383.649902,5290.25,5304.450195,0,5304.450195
2010-04-09,5302.399902,5377.450195,5302.25,5361.75,0,5361.75
2010-04-12,5354.149902,5382.149902,5324.899902,5339.700195,0,5339.700195
2010-04-13,5340.850098,5356.5,5301.700195,5322.950195,0,5322.950195
2010-04-15,5323.299805,5373.149902,5265.299805,5273.600098,0,5273.600098
2010-04-16,5273.399902,5283.049805,5237.549805,5262.600098,0,5262.600098
