Date,Open,High,Low,Close,Volume,Adj Close
2015-02-02,17169.990234,17367.679688,17037.759766,17361.039062,108090000,17361.039062
2015-02-03,17369.970703,17670.759766,17369.970703,17666.400391,112860000,17666.400391
2015-02-04,17664.990234,17782.220703,17603.210938,17673.019531,102560000,17673.019531
2015-02-05,17677.259766,17889.580078,17677.259766,17884.880859,79890000,17884.880859
2015-02-06,17881.539062,17951.089844,17764.400391,17824.289062,93610000,17824.289062
2015-02-09,17821.490234,17821.490234,17685.320312,17729.210938,81590000,17729.210938
2015-02-10,17736.150391,17890.339844,17729.240234,17868.759766,89930000,17868.759766
2015-02-11,17867.859375,17897.210938,17759.650391,17862.140625,89890000,17862.140625
2015-02-12,17862.140625,17975.650391,17862.140625,17972.380859,117160000,17972.380859
2015-02-13,17968.650391,18037.410156,17961.759766,18019.349609,85230000,18019.349609
2015-02-17,18019.800781,18052.009766,17951.410156,18047.580078,98760000,18047.580078
2015-02-18,18045.720703,18048.699219,17982.199219,18029.849609,75090000,18029.849609
2015-02-19,18028.669922,18028.669922,17924.599609,17985.769531,79130000,17985.769531
2015-02-20,17985.769531,18144.289062,17878.369141,18140.439453,111390000,18140.439453
2015-02-23,18140.759766,18141.210938,18054.839844,18116.839844,83670000,18116.839844
2015-02-24,18112.570312,18231.089844,18098.730469,18209.189453,79310000,18209.189453
2015-02-25,18208.669922,18244.380859,18182.759766,18224.570312,80480000,18224.570312
2015-02-26,18224.410156,18239.429688,18157.070312,18214.419922,81500000,18214.419922
2015-02-27,18213.259766,18213.259766,18132.380859,18132.699219,101110000,18132.699219
2015-03-02,18134.050781,18288.630859,18122.589844,18288.630859,89790000,18288.630859
2015-03-03,18281.949219,18281.949219,18136.880859,18203.369141,83830000,18203.369141
2015-03-04,18203.369141,18203.369141,18029.5,18096.900391,80900000,18096.900391
2015-03-05,18096.900391,18160.349609,18087.650391,18135.720703,75840000,18135.720703
2015-03-06,18135.720703,18135.720703,17825.150391,17856.779297,113350000,17856.779297
2015-03-09,17856.560547,18031.039062,17856.560547,17995.720703,85820000,17995.720703
2015-03-10,17989.560547,17989.560547,17662.939453,17662.939453,120450000,17662.939453
2015-03-11,17662.939453,17731.779297,17627.0,17635.390625,102120000,17635.390625
2015-03-12,17626.839844,17900.099609,17620.490234,17895.220703,111550000,17895.220703
2015-03-13,17889.050781,17889.050781,17629.890625,17749.310547,113620000,17749.310547
2015-03-16,17751.240234,17988.5,17751.240234,17977.419922,101760000,17977.419922
2015-03-17,17972.220703,17972.220703,17785.789062,17849.080078,82560000,17849.080078
2015-03-18,17846.800781,18097.119141,17697.519531,18076.189453,130950000,18076.189453
2015-03-19,18072.580078,18072.990234,17934.240234,17959.029297,107820000,17959.029297
2015-03-20,17961.130859,18197.289062,17961.130859,18127.650391,333870000,18127.650391
2015-03-23,18136.730469,18205.929688,18116.039062,18116.039062,98030000,18116.039062
2015-03-24,18110.869141,18149.240234,18010.439453,18011.140625,87190000,18011.140625
2015-03-25,18012.609375,18041.970703,17718.539062,17718.539062,106560000,17718.539062
2015-03-26,17716.269531,17759.509766,17579.269531,17678.230469,117740000,17678.230469
2015-03-27,17673.630859,17729.140625,17630.490234,17712.660156,103220000,17712.660156
2015-03-30,17727.480469,18008.640625,17727.480469,17976.310547,104040000,17976.310547
2015-03-31,17965.369141,17965.369141,17773.019531,17776.119141,119470000,17776.119141
2015-04-01,17778.519531,17778.519531,17585.009766,17698.179688,103360000,17698.179688
2015-04-02,17699.519531,17815.029297,17673.490234,17763.240234,87370000,17763.240234
2015-04-06,17755.5,17941.789062,17646.800781,17880.849609,100850000,17880.849609
2015-04-07,17884.320312,17983.119141,17871.210938,17875.419922,72150000,17875.419922
2015-04-08,17877.619141,17976.199219,17822.230469,17902.509766,76820000,17902.509766
2015-04-09,17902.509766,17984.220703,17823.099609,17958.730469,86740000,17958.730469
2015-04-10,17956.730469,18066.759766,17945.550781,18057.650391,116410000,18057.650391
2015-04-13,18052.320312,18107.570312,17974.810547,17977.039062,120090000,17977.039062
2015-04-14,17979.109375,18075.599609,17905.480469,18036.699219,82830000,18036.699219
2015-04-15,18045.710938,18160.519531,18045.710938,18112.609375,113610000,18112.609375
2015-04-16,18106.269531,18169.259766,18063.859375,18105.769531,89520000,18105.769531
2015-04-17,18102.560547,18102.560547,17748.529297,17826.300781,138860000,17826.300781
2015-04-20,17841.179688,18092.220703,17841.179688,18034.929688,103160000,18034.929688
2015-04-21,18034.230469,18109.699219,17929.630859,17949.589844,95180000,17949.589844
2015-04-22,17950.820312,18056.019531,17887.759766,18038.269531,91260000,18038.269531
2015-04-23,18031.900391,18133.029297,17966.769531,18058.689453,100240000,18058.689453
2015-04-24,18056.419922,18108.869141,18009.080078,18080.140625,119130000,18080.140625
2015-04-27,18097.890625,18175.560547,18024.660156,18037.970703,121110000,18037.970703
2015-04-28,18035.900391,18119.650391,17917.359375,18110.140625,124930000,18110.140625
2015-04-29,18093.689453,18096.460938,17953.689453,18035.529297,102080000,18035.529297
2015-04-30,18033.330078,18033.330078,17774.890625,17840.519531,129180000,17840.519531
2015-05-01,17859.269531,18028.890625,17859.269531,18024.060547,91700000,18024.060547
2015-05-04,18026.019531,18133.759766,18026.019531,18070.400391,86010000,18070.400391
2015-05-05,18062.529297,18086.009766,17905.710938,17928.199219,95340000,17928.199219
2015-05-06,17934.810547,18019.75,17733.119141,17841.980469,100430000,17841.980469
2015-05-07,17840.25,17973.070312,17796.939453,17924.060547,80920000,17924.060547
2015-05-08,17933.640625,18205.230469,17933.640625,18191.109375,94960000,18191.109375
